date,cash,equity,margin,market_value,pnl,unrealized_pnl,fees
2023-01-03,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-01-04,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-01-05,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-01-06,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-01-09,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-01-10,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-01-11,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-01-12,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-01-13,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-01-16,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-01-17,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-01-18,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-01-19,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-01-20,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-01-30,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-01-31,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-02-01,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-02-02,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-02-03,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-02-06,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-02-07,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-02-08,800810.9,999509.54,0.0,999509.54,-490.46,0.0,49.78
2023-02-09,701235.45,1001140.96,0.0,1001140.96,1140.96,0.0,74.67
2023-02-10,601196.44,1000791.64,0.0,1000791.64,791.64,0.0,99.68
2023-02-13,601670.89,1000458.27,0.0,1000458.27,458.27,0.0,248.91
2023-02-14,502564.28,1000930.02,0.0,1000930.02,930.02,0.0,273.68
2023-02-15,300839.56,996932.39,0.0,996932.39,-3067.61,0.0,470.42
2023-02-16,201868.15,992797.75,0.0,992797.75,-7202.25,0.0,495.15
2023-02-17,201868.15,988593.14,0.0,988593.14,-11406.86,0.0,495.15
2023-02-20,201868.15,998597.39,0.0,998597.39,-1402.61,0.0,495.15
2023-02-21,402433.13,1000371.47,0.0,1000371.47,371.47,0.0,746.17
2023-02-22,501558.54,999107.5,0.0,999107.5,-892.5,0.0,870.24
2023-02-23,501558.54,1001980.92,0.0,1001980.92,1980.92,0.0,870.24
2023-02-24,401700.01,1001404.67,0.0,1001404.67,1404.67,0.0,895.2
2023-02-27,401700.01,999066.26,0.0,999066.26,-933.74,0.0,895.2
