date,cash,equity,margin,market_value,pnl,unrealized_pnl,fees
2023-01-03,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-01-04,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-01-05,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-01-06,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-01-09,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-01-10,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-01-11,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-01-12,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-01-13,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-01-16,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-01-17,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-01-18,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-01-19,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-01-20,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-01-30,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-01-31,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-02-01,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-02-02,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-02-03,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-02-06,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-02-07,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-02-08,502690.02,997251.7,0.0,997251.7,-2748.3,0.0,124.3
2023-02-09,502690.02,1001898.02,0.0,1001898.02,1898.02,0.0,124.3
2023-02-10,502690.02,1003761.56,0.0,1003761.56,3761.56,0.0,124.3
2023-02-13,402505.36,1009795.21,0.0,1009795.21,9795.21,0.0,149.34
2023-02-14,502504.47,1010933.93,0.0,1010933.93,10933.93,0.0,274.49
2023-02-15,99677.75,1002183.64,0.0,1002183.64,2183.64,0.0,375.17
2023-02-16,199309.55,995097.65,0.0,995097.65,-4902.35,0.0,648.71
2023-02-17,99887.44,995927.09,0.0,995927.09,-4072.91,0.0,673.56
2023-02-20,205127.97,1011894.17,0.0,1011894.17,11894.17,0.0,805.27
2023-02-21,304447.18,1018240.21,0.0,1018240.21,18240.21,0.0,929.58
2023-02-22,1209.67,1015600.62,0.0,1015600.62,15600.62,0.0,1005.37
2023-02-23,-16.55,1016489.34,0.0,1016489.34,16489.34,0.0,1154.7
2023-02-24,100724.83,1013648.41,0.0,1013648.41,13648.41,0.0,1585.08
2023-02-27,300196.34,1009197.78,0.0,1009197.78,9197.78,0.0,1986.94
